ID,SMILES,Class,pIC50,NAME,USED AS
HE1,Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@@H](C3)Oc4cccc(c4)C(=O)N)cc1,Blocker,9.85,CHEMBL1257821,Model set
HE2,COc1nc2ccc(Br)cc2cc1[C@@H](c3ccccc3)[C@@](O)(CCN(C)C)c4cccc5ccccc45,Blocker,9.7,CHEMBL376488,Model set
HE3,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CCCc4ccccc4)c1,Blocker,9.6,CHEMBL1257820,Model set
HE4,CCCCCCCc1cccc([n+]1C)CCCCCCC,Blocker,9.6,CHEMBL3590463,Model set
HE5,Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@@H](C3)Oc4cccc(c4)C(=O)N)s1,Blocker,9.59,CHEMBL1257578,Model set
HE6,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CCc4ccccc4)c1,Blocker,9.42,CHEMBL1257698,Model set
HE7,FC(F)(F)c1cnc2c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)ccnc2c1,Blocker,9.41,CHEMBL3422978,Model set
HE8,COC1OC2(CCN(Cc3ccccc3)CC2)c4cnn(c5ccccc5)c14,Blocker,9.39,CHEMBL410832,Model set
HE9,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc4cccs4)c1,Blocker,9.37,CHEMBL1257577,Model set
HE10,CN1C[C@@H]2C[C@H]1CN2c3ccc(cn3)c4ccc5sccc5c4,Blocker,9.3,CHEMBL1085090,Model set
HE11,CN1C[C@@H]2C[C@H]1CN2c3ncc(cn3)c4ccc5sccc5c4,Blocker,9.3,CHEMBL1085806,Model set
HE12,Cc1cccc(CN2[C@@H]3CC[C@H]2C[C@@H](C3)Oc4cccc(c4)C(=O)N)c1,Blocker,9.28,CHEMBL1257937,Model set
HE13,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,Blocker,9.21,CHEMBL1223951,Model set
