Time,TU2,TU3,TU4,TU7,TU8,TU9,TU10,TU11,TU12,TU13,TU14,TU15,TU16,Wam2,Wam4,Wam5,Wam7,Wam11,Wam13,Wam15,Wam17,Wpm1,Wpm2,Wpm3,Wpm5,Wpm6,Wpm7,Wpm8,Wpm9,Wpm11,Wpm14,Wpm16,Th2,Th3,Th4,Th6,Th10,Th16,Time_1,Average,SD
0,88.1,95.4,99.02,88.99,90.43,72.09,73.69,92.13,92.55,83.92,81.94,97.7,97.52,94.24,83.67,95.61,99.28,84,60.44,79.51,83.81,96.15,,92.19,95.05,95.05,,88.89,75.26,97.17,95.51,81.9,75.56,76.47,83.13,71.8,88.76,67.86,0,86.52,9.93
3.75,71.43,94.25,99.02,91.74,91.49,81.93,80.82,78.65,92.55,93.01,95.83,65.52,97.52,98.95,48.98,89.47,,74.4,87.91,77.43,99.05,84.62,89.08,94.93,96.05,96.05,94.32,94.87,84.54,96.71,94.38,82.76,77.78,81.18,84.34,63.98,94.38,59.82,3.75,85.94,12.08
7.5,72.62,74.71,72.55,74.31,73.4,63.47,60.89,44.94,71.28,77.62,77.78,85.06,79.34,73.82,65.31,77.19,74.82,64,78.02,59.38,71.43,64.42,78.15,74.67,70.94,70.94,80.2,58.12,67.01,64.74,69.66,56.9,62.22,61.18,68.67,58.91,73.03,61.61,7.5,69.3,8.19
11.25,54.76,51.72,50,46.79,45.74,42.83,40.09,46.07,45.74,47.55,47.22,49.43,46.28,44.5,45.92,49.12,43.88,44,46.15,44.1,45.71,41.35,47.9,42.51,47.13,47.13,49.3,41.03,47.42,42.61,47.19,,41.11,38.82,48.19,40.59,51.69,38.39,11.25,45.67,3.72
15,46.43,44.83,,45.87,45.74,41.98,38.13,44.94,48.94,39.86,39.58,47.13,43.8,37.7,44.9,42.98,41.73,40,43.96,41.67,40.95,38.46,42.02,42.73,46.55,46.55,46.17,42.74,41.24,41.3,43.82,43.1,45.56,44.71,48.19,38.62,46.07,33.93,15,43.05,3.31
18.75,76.19,79.31,,72.48,73.4,59.97,66.91,70.79,68.09,69.93,69.44,63.22,70.25,69.63,61.22,71.93,71.94,63.2,61.54,65.97,68.57,67.31,70.59,61.33,69.12,69.12,71.56,65.81,68.04,66.4,73.03,65.52,67.78,72.94,71.08,60.82,76.4,52.68,18.75,68.2,5.26
22.5,92.86,93.1,89.22,92.66,93.62,81.09,73.28,66.29,85.11,100,96.53,82.76,96.69,100,82.65,100,91.37,83.2,91.21,82.29,85.71,83.65,87.39,93.26,86.67,86.67,98.14,68.38,87.63,87.26,87.64,79.31,83.33,84.71,90.36,74.49,96.63,83.93,22.5,87.34,8.18
26.25,94.05,93.1,86.27,90.83,100,79.05,83.48,79.78,81.91,97.2,100,71.26,95.87,93.72,81.63,86.84,91.37,80,74.73,74.65,72.38,76.92,93.28,78.3,86.55,86.55,90.97,80.34,81.44,84.79,87.64,63.79,68.89,72.94,81.93,70.06,86.52,78.57,26.25,83.62,9.02
30,94.05,89.66,98.04,88.07,96.81,76.89,84.68,97.75,85.11,90.91,94.44,98.85,100,98.95,93.88,82.46,99.28,88.8,81.32,88.89,90.48,,88.24,96.94,93.68,93.68,95.04,94.02,93.81,96.71,100,91.38,92.22,95.29,95.18,100,95.51,,30,92.81,5.65
33.75,75,70.11,78.43,69.72,72.34,62.51,70.55,73.03,69.15,69.93,70.14,67.82,71.9,67.02,67.35,65.79,71.94,64,65.93,69.1,69.52,73.08,70.59,67.85,72.94,72.94,73.28,70.09,72.16,67.56,77.53,68.97,70,77.65,75.9,64.5,73.03,56.25,33.75,70.15,4.35
37.5,47.62,45.98,44.12,47.71,44.68,45.35,44.18,43.82,44.68,42.66,42.36,45.98,42.98,39.27,,44.74,41.73,37.6,48.35,46.88,41.9,45.19,44.54,44.12,46.74,46.74,45.61,,44.33,38.71,44.94,43.1,46.67,44.71,48.19,42.95,49.44,42.86,37.5,44.48,2.63
41.25,54.76,50.57,48.04,52.29,50,42.92,48.52,52.81,44.68,47.55,46.53,48.28,43.8,44.5,48.98,42.98,41.01,41.6,58.24,47.22,45.71,46.15,53.78,44.96,46.74,46.74,50.1,43.59,49.48,43.8,44.94,42.24,48.89,45.88,55.42,45.37,49.44,41.96,41.25,47.38,4.1
