2022 percent scores,2023 percent scores
81.42857143,38.57142857
77.14285714,82.85714286
80,68.57142857
77.14285714,61.42857143
58.57142857,78.57142857
58.57142857,54.28571429
85.71428571,88.57142857
84.28571429,80
77.14285714,91.42857143
77.14285714,81.42857143
82.85714286,51.42857143
65.71428571,84.28571429
47.14285714,52.85714286
67.14285714,82.85714286
74.28571429,85.71428571
65.71428571,75.71428571
82.85714286,65.71428571
82.85714286,37.14285714
74.28571429,88.57142857
74.28571429,77.14285714
44.28571429,52.85714286
60,85.71428571
74.28571429,82.85714286
72.85714286,78.57142857
68.57142857,34.28571429
65.71428571,42.85714286
71.42857143,72.85714286
71.42857143,80
85.71428571,34.28571429
74.28571429,67.14285714
85.71428571,57.14285714
80,40
75.71428571,77.14285714
77.14285714,91.42857143
75.71428571,51.42857143
74.28571429,87.14285714
74.28571429,24.28571429
85.71428571,74.28571429
57.14285714,57.14285714
72.85714286,94.28571429
64.28571429,77.14285714
58.57142857,77.14285714
78.57142857,25.71428571
82.85714286,91.42857143
54.28571429,82.85714286
80,80
78.57142857,91.42857143
77.14285714,75.71428571
62.85714286,32.85714286
82.85714286,85.71428571
71.42857143,91.42857143
44.28571429,50
71.42857143,84.28571429
40,34.28571429
74.28571429,84.28571429
82.85714286,94.28571429
61.42857143,91.42857143
80,94.28571429
65.71428571,85.71428571
65.71428571,78.57142857
30,55.71428571
55.71428571,91.42857143
82.85714286,91.42857143
72.85714286,90
77.14285714,88.57142857
85.71428571,91.42857143
77.14285714,75.71428571
82.85714286,78.57142857
80,85.71428571
70,64.28571429
71.42857143,80
62.85714286,61.42857143
68.57142857,91.42857143
58.57142857,82.85714286
71.42857143,75.71428571
57.14285714,57.14285714
85.71428571,81.42857143
80,94.28571429
75.71428571,72.85714286
77.14285714,62.85714286
74.28571429,81.42857143
67.14285714,77.14285714
50,87.14285714
82.85714286,91.42857143
68.57142857,77.14285714
77.14285714,38.57142857
44.28571429,58.57142857
85.71428571,
80,
77.14285714,
72.85714286,
55.71428571,
82.85714286,
80,
62.85714286,
74.28571429,
82.85714286,
85.71428571,
48.57142857,
71.42857143,
68.57142857,
81.42857143,
80,
82.85714286,
85.71428571,
74.28571429,
80,
67.14285714,
75.71428571,
82.85714286,
77.14285714,
62.85714286,
75.71428571,
61.42857143,
61.42857143,
77.14285714,
42.85714286,
