Cell_ID,AV_Box_Count_Df,Coef_Var_Lacunarity,ROUNDNESS,CIRCULARITY,Stratification,Eccentricity,cell_area,dend_area,max_dend,adj_df,type_alpha_1
18-43*,1.5822,0.5174,13.645,0.9209,0,3.4,172,0.062,306,1.598,0
18-50,1.4827,0.6782,14.1734,0.8866,0,4.3,181,0.075,390,1.518,0
18-53,1.5496,0.5828,13.3504,0.9413,1,3.5,169,0.058,291,1.58,0
18-55,1.5278,0.7655,13.7333,0.915,1,4,151,0.069,326,1.565,0
18-58,1.4989,0.6798,13.5774,0.9255,0,4.1,169,0.093,375,1.5,0
18-59,1.5417,0.6786,13.4936,0.9313,1,3.8,131,0.061,289,1.565,0
18-62,1.5125,0.7309,14.6892,0.8555,0,4.7,176,0.99,443,1.525,0
18-67,1.492,0.6701,13.9285,0.9022,1,5.6,161,0.082,376,1.486,0
19-34,1.5735,0.561,14.3104,0.8781,0,0.35,224,0.041,257,1.618,0
19-37,1.5148,0.7174,13.3349,0.9424,0,1,228,0.076,332,1.552,0
20r-10,1.5432,0.6624,13.4288,0.9358,0,0.65,272,0.062,317,1.629,0
20r-16,1.5538,0.7059,13.5547,0.9271,0,1.15,275,0.078,355,1.595,0
20r-25,1.5761,0.7029,13.6867,0.9181,0,0.5,268,0.037,261,1.588,0
20r-52,1.5517,0.6249,14.8349,0.8471,0,0.2,211,0.057,327,1.561,0
17-24,1.5169,0.5678,13.423,0.9362,1,3.41,428.04,0.1734,483,1.579,1
17-25,1.5723,0.6657,13.5703,0.926,0,3.52,432.96,0.12054,380,1.589,1
17-32,1.5332,0.6604,15.0305,0.8361,1,0.385,348.09,0.03936,252,1.522,1
17-33,1.5399,0.8156,32.2169,0.3901,1,0.11,389.91,0.03567,223,1.566,1
17-34,1.5189,0.6405,13.6783,0.9187,1,0.11,354.24,0.03567,212,1.549,1
17-40,1.5811,0.6009,13.216,0.9508,0,0.55,380.07,0.08118,314,1.602,1
17-41,1.5703,0.5868,13.6296,0.922,1,0.55,442.8,0.05658,284,1.583,1
19-01,1.5027,0.7234,13.4139,0.9368,0,5.5,217,0.141,468,1.478,1
19-10,1.5945,0.5104,13.5123,0.93,0,2.1,307,0.106,405,1.662,1
19-18,1.5503,0.6894,13.5841,0.9251,0,0.7,243,0.106,393,1.629,1
19-19,1.5687,0.527,13.4165,0.9366,1,0.75,256,0.072,324,1.624,1
19-02,1.5407,0.7025,13.2018,0.9519,0,5.3,286,0.139,467,1.578,1
19-23,1.5053,0.7898,17.0169,0.7385,0,0.8,226,0.098,410,1.606,1
19-03,1.536,0.6734,13.522,0.9293,0,4.8,261,0.138,454,1.63,1
19-35,1.5571,0.5869,13.3537,0.941,0,0.3,272,0.086,345,1.643,1
19-39,1.5273,0.6888,14.1997,0.885,0,1.25,279,0.121,486,1.627,1
19-40,1.5485,0.6545,13.5896,0.9247,0,1.4,284,0.185,521,1.589,1
19-06,1.3897,0.6982,13.3161,0.9437,1,5.1,447,0.45,847,1.659,1
19-07,1.4475,0.708,13.7538,0.9137,1,5.8,349,0.418,805,1.381,1
20l-12,1.5497,0.7165,14.1534,0.8879,1,0.85,406,0.039,266,1.605,1
20l-14,1.5763,0.5492,13.5805,0.9253,1,0.2,326,0.051,274,1.631,1
20l-15,1.6144,0.6062,13.6286,0.9221,0,0.4,296,0.072,344,1.654,1
20l-16,1.5452,0.7394,14.8121,0.8484,1,0.65,344,0.048,288,1.583,1
20l-02,1.5081,0.6084,13.5948,0.9244,1,1.75,392,0.165,513,1.513,1
20l-23,1.5773,0.5459,13.9693,0.8996,1,0.45,199,0.056,344,1.618,1
20l-28,1.5886,0.6752,13.3105,0.9441,1,0.15,355,0.047,273,1.59,1
20l-29,1.555,0.5996,13.5301,0.9288,0,0.35,295,0.102,401,1.651,1
20l-30,1.5779,0.5339,13.4271,0.9359,1,0.65,369,0.071,355,1.668,1
20l-33,1.521,0.459,13.4316,0.9356,1,2.1,401,0.173,532,1.554,1
20l-34,1.5464,0.6896,13.6588,0.92,0,3.2,330,0.094,378,1.646,1
20l-35,1.4397,0.6627,31.8635,0.3944,1,3.1,442,0.199,570,1.527,1
20l-45,1.5099,0.5624,13.3524,0.9411,1,6.4,336,0.246,595,1.513,1
20l-49,1.4613,0.5681,14.1017,0.8911,1,5.2,417,0.274,690,1.517,1
20l-55,1.457,0.8297,14.18,0.8862,0,5.7,287,0.242,611,1.463,1
20l-57,1.5611,0.656,13.9151,0.9031,0,5.2,382,0.136,503,1.657,1
20r-01,1.4461,0.6011,13.7258,0.9155,1,2.3,294,0.274,696,1.488,1
20r-13,1.5438,0.6697,13.3745,0.9396,1,0.6,327,0.074,350,1.534,1
20r-14,1.6024,0.5714,13.4205,0.9364,0,1,296,0.099,408,1.644,1
20r-15,1.5579,0.6185,13.391,0.9384,1,1,383,0.087,369,1.612,1
20r-18,1.5773,0.5738,13.5142,0.9299,1,0.5,268,0.065,322,1.62,1
20r-19,1.5676,0.5668,14.2073,0.8845,1,0.85,360,0.099,412,1.588,1
20r-02,1.4371,0.6544,14.1727,0.8867,1,2.5,379,0.264,692,1.41,1
20r-20,1.4992,0.6083,15.3734,0.8174,1,1.05,345,0.147,479,1.553,1
20r-21,1.5573,0.6301,14.5437,0.864,0,1.3,279,0.099,426,1.603,1
20r-27,1.5308,0.6501,13.7339,0.915,1,0.95,339,0.074,331,1.531,1
20r-28,1.5673,0.6376,13.3849,0.9388,1,0.8,289,0.06,311,1.612,1
20r-29,1.547,0.71,13.7763,0.9122,1,0.7,351,0.053,299,1.59,1
20r-30,1.5708,0.6366,14.3247,0.8772,1,0.65,377,0.059,323,1.599,1
20r-31,1.5313,0.6793,14.3955,0.8729,1,0.65,291,0.051,307,1.574,1
20r-32,1.568,0.6724,13.3284,0.9428,0,0.65,238,0.079,360,1.645,1
20r-37,1.5594,0.6192,13.552,0.9273,1,1.2,284,0.066,328,1.635,1
20r-38,1.5307,0.5919,14.0006,0.8976,0,1.4,201,0.076,380,1.586,1
20r-39,1.543,0.5348,13.4814,0.9321,1,1.4,251,0.077,352,1.625,1
20r-40,1.5676,0.5512,13.556,0.927,0,1.65,316,0.09,407,1.694,1
20r-41,1.5241,0.5943,13.929,0.9022,1,1.65,275,0.074,356,1.618,1
20r-45,1.5475,0.5635,13.5386,0.9282,1,1.7,380,0.137,471,1.617,1
20r-48,1.5761,0.6348,14.4054,0.8723,0,1.1,271,0.093,376,1.677,1
20r-05,1.5258,0.4897,13.8065,0.9102,1,1.2,358,0.107,435,1.537,1
20r-56,1.5156,0.5672,13.4363,0.9353,1,3.1,347,0.188,540,1.51,1
20r-59,1.4799,0.7448,33.0087,0.3807,0,3.3,275,0.118,476,1.527,1
20r-60,1.4828,0.4775,13.2878,0.9457,1,3.6,392,0.195,547,1.486,1
20r-61,1.4961,0.5798,13.56,0.9267,1,4.6,359,0.177,521,1.498,1
20r-06,1.579,0.5244,13.7866,0.9115,1,0.9,370,0.09,440,1.555,1
20r-70,1.4075,0.7211,13.6184,0.9227,1,5,324,0.451,847,1.27,1
20r-71,1.3696,0.5942,13.4691,0.933,1,5.9,423,0.486,867,1.234,1
20r-08,1.5237,0.6389,13.5708,0.926,0,1.2,230,0.101,439,1.567,1
20r-09,1.5264,0.6764,13.8554,0.907,1,0.6,288,0.071,345,1.534,1
